,Overall,Bib,Name,Time,Year,Seconds
0,1,201,Roosevelt Cook,0 days 01:11:15.000000000,2016,4275.0
1,2,204,Bill Martin,0 days 01:11:50.000000000,2016,4310.0
2,3,1623,Cody Hodgins,0 days 01:13:43.000000000,2016,4423.0
3,4,1222,Andrew Archer,0 days 01:15:04.000000000,2016,4504.0
4,5,1224,Brian Syring,0 days 01:15:30.000000000,2016,4530.0
5,6,203,Lane Boyer,0 days 01:16:23.000000000,2016,4583.0
6,7,1231,Tom Divinnie,0 days 01:17:11.000000000,2016,4631.0
7,8,1218,Nick French,0 days 01:17:11.000000000,2016,4631.0
8,9,1234,Tony White,0 days 01:17:16.000000000,2016,4636.0
9,10,1232,Lewis Kivett,0 days 01:17:49.000000000,2016,4669.0
0,1,202,Tyler Andrews,0 days 01:10:58.000000000,2017,4258.0
1,2,204,Bill Martin,0 days 01:11:25.000000000,2017,4285.0
2,3,206,Nick French,0 days 01:11:42.000000000,2017,4302.0
3,4,201,Roosevelt Cook,0 days 01:13:20.000000000,2017,4400.0
4,5,1655,Erick Kigen,0 days 01:14:56.000000000,2017,4496.0
5,6,205,Jake Van Geffen,0 days 01:17:44.000000000,2017,4664.0
6,7,1550,Jaron Byrum,0 days 01:19:35.000000000,2017,4775.0
7,8,1565,Luke Schafer,0 days 01:20:03.000000000,2017,4803.0
8,9,1582,Conrad Goeringer,0 days 01:20:38.000000000,2017,4838.0
9,10,1578,Geoff Musick,0 days 01:20:40.000000000,2017,4840.0
0,1,103,Roosevelt Cook,0 days 01:09:25.000000000,2018,4165.0
1,2,107,Lucas Cotter,0 days 01:09:51.000000000,2018,4191.0
2,3,105,Nick French,0 days 01:10:38.000000000,2018,4238.0
3,4,106,Jason Vincze,0 days 01:11:50.000000000,2018,4310.0
4,5,104,Joseph Elsakr,0 days 01:13:28.000000000,2018,4408.0
5,6,1021,Grant Mackinnon,0 days 01:16:49.000000000,2018,4609.0
6,7,1020,Timothy Appman,0 days 01:17:05.000000000,2018,4625.0
7,8,17407,Jerry Rojas,0 days 01:17:28.000000000,2018,4648.0
8,9,1025,Geoff Musick,0 days 01:17:43.000000000,2018,4663.0
9,10,1036,Phillip Riemer,0 days 01:17:47.000000000,2018,4667.0
0,1,31,Nick French,0 days 01:10:03.000000000,2019,4203.0
1,2,33,Ian Bordelon,0 days 01:12:15.000000000,2019,4335.0
2,3,32,Chris Demetra,0 days 01:12:52.000000000,2019,4372.0
3,4,1025,Grayson Reid,0 days 01:15:10.000000000,2019,4510.0
4,5,34,Jason Vincze,0 days 01:17:01.000000000,2019,4621.0
5,6,16665,Zane Kahkonen Keppler,0 days 01:17:10.000000000,2019,4630.0
6,7,1055,Vern Kerchberger,0 days 01:17:35.000000000,2019,4655.0
7,8,1068,Eric Waterman,0 days 01:18:52.000000000,2019,4732.0
8,9,1048,Andrew Dibb,0 days 01:19:12.000000000,2019,4752.0
9,10,1029,Michael Berger,0 days 01:19:24.000000000,2019,4764.0
